TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
9514.596,9513.904,9399.606,9427.417,9606.88,9632.514
8983.986,8982.137,8861.521,8891.999,9077.838,9103.034
8456.977,8458.905,8319.101,8358.573,8551.366,8576.431
7926.3,7927.082,7799.1694,7821.9497,8025.449,8054.7456
7670.059,7671.205,7542.0757,7573.01,7769.0156,7799.5566
7498.1885,7500.9297,7367.421,7393.608,7598.69,7624.084
7455.152,7455.8066,7316.389,7347.417,7556.6353,7589.921
7486.1973,7488.383,7362.258,7389.48,7579.121,7609.7676
7663.89,7662.454,7536.3286,7563.2925,7760.765,7790.6416
8039.685,8041.158,7909.744,7939.2397,8132.609,8166.666
8236.327,8236.734,8103.6167,8136.553,8335.373,8369.019
8669.242,8665.543,8542.71,8574.469,8768.431,8800.83
8965.763,8964.13,8844.456,8878.863,9061.508,9087.76
9036.58,9036.482,8914.743,8942.321,9127.752,9166.64
9112.376,9113.007,8985.998,9015.276,9212.267,9239.654
9215.74,9216.713,9091.467,9121.359,9311.243,9341.809
9225.347,9227.662,9093.488,9128.358,9320.722,9345.416
9239.472,9240.452,9120.191,9144.242,9331.91,9358.179
9364.542,9367.189,9232.279,9267.237,9458.633,9493.964
9628.435,9625.908,9515.615,9536.971,9722.189,9754.843
10042.222,10044.867,9910.949,9939.936,10139.366,10166.096
10277.42,10277.376,10155.49,10184.388,10374.919,10396.711
10507.568,10504.266,10382.168,10411.376,10607.157,10632.637
10393.836,10397.998,10261.45,10294.667,10492.2,10526.69
9794.046,9796.107,9674.158,9699.366,9889.015,9915.973
9223.963,9223.203,9092.012,9125.176,9322.442,9351.683
8664.744,8666.232,8540.557,8566.906,8763.763,8787.836
8165.167,8166.411,8038.139,8072.8003,8263.321,8291.13
7736.8716,7735.5215,7610.785,7641.438,7834.4287,7861.9375
7585.2793,7584.4673,7448.2803,7481.8457,7690.427,7715.1064
7391.917,7391.25,7258.0,7290.6865,7492.729,7534.0303
7410.023,7410.964,7280.439,7310.017,7509.3965,7537.0747
7540.509,7540.7383,7412.392,7442.369,7641.081,7674.1636
7791.556,7789.8657,7663.289,7691.846,7895.765,7928.005
7959.563,7959.202,7826.658,7860.21,8059.9233,8087.2437
8301.373,8300.232,8177.389,8202.042,8402.969,8432.482
8706.643,8705.236,8581.582,8605.911,8802.989,8832.805
8921.591,8922.832,8791.173,8820.705,9025.139,9048.834
9101.995,9103.222,8975.756,9009.483,9198.46,9225.089
9324.584,9325.11,9201.057,9230.665,9417.6455,9444.746
9410.287,9409.8125,9283.08,9310.517,9510.389,9540.449
9517.013,9515.828,9386.651,9424.529,9612.929,9641.644
9763.417,9764.481,9642.604,9667.855,9851.325,9878.076
10139.865,10138.339,10019.593,10042.159,10234.368,10264.854
10640.072,10642.286,10513.858,10536.325,10736.017,10770.056
10889.803,10887.302,10763.63,10791.072,10994.512,11023.673
11069.856,11069.15,10948.405,10975.634,11162.672,11194.271
11115.914,11116.459,10990.452,11018.581,11218.26,11243.671
10368.976,10369.491,10240.015,10268.955,10470.479,10501.808
9662.35,9659.542,9524.532,9554.075,9770.311,9798.696
8921.72,8922.266,8796.733,8830.088,9020.729,9047.28
8315.38,8316.391,8194.6,8218.256,8410.118,8441.114
7847.098,7849.1343,7714.359,7748.997,7950.2056,7976.054
7599.272,7598.198,7469.697,7498.9854,7698.934,7735.604
7491.062,7490.5723,7357.2983,7390.547,7592.4253,7611.3926
7620.278,7618.6123,7496.115,7523.2104,7720.7944,7746.626
8021.6016,8019.2275,7895.824,7920.265,8125.1626,8159.4854
8649.45,8648.728,8527.488,8553.299,8742.863,8768.084
9060.422,9058.733,8929.347,8963.75,9164.64,9190.753
9290.42,9287.631,9175.899,9200.543,9382.56,9415.102
9415.814,9411.869,9294.975,9323.133,9514.483,9545.566
9398.049,9396.154,9277.281,9307.131,9494.231,9529.218
9519.238,9518.725,9389.369,9426.456,9617.046,9649.057
9525.114,9527.233,9391.771,9427.697,9625.782,9650.546
9453.296,9454.637,9321.047,9349.117,9551.833,9578.13
9495.18,9495.881,9374.897,9403.585,9590.119,9611.805
9590.009,9591.091,9468.089,9492.159,9688.781,9708.744
9781.365,9779.605,9650.913,9682.75,9878.247,9906.793
10030.893,10032.8125,9910.261,9930.516,10129.492,10151.133
10134.022,10132.525,10008.414,10041.688,10230.94,10260.02
10314.054,10312.302,10177.278,10214.351,10414.674,10445.799
10256.59,10260.043,10129.441,10161.005,10353.709,10382.541
9661.651,9659.842,9536.968,9566.31,9757.125,9787.089
9030.526,9030.902,8903.72,8932.688,9129.912,9152.889
8412.797,8413.043,8295.283,8320.298,8505.015,8532.604
7941.588,7940.579,7818.559,7844.2925,8034.2056,8064.417
7665.998,7663.582,7545.006,7568.435,7764.9873,7795.6587
7595.276,7594.8086,7467.8984,7496.435,7699.597,7726.7656
7585.338,7581.5605,7455.718,7484.2583,7686.18,7716.3706
7776.116,7778.5317,7638.254,7670.3022,7871.955,7901.242
8337.6455,8339.013,8196.117,8233.893,8439.126,8463.623
8987.913,8985.516,8854.12,8883.745,9090.627,9115.134
