,TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
386,12206.485,12204.654,11984.656,12036.434,12371.357,12427.748
387,12333.548,12333.691,12110.123,12151.499,12514.885,12558.744
388,12412.26,12408.24,12203.241,12244.341,12584.465,12632.905
389,12753.063,12757.831,12516.763,12581.31,12911.823,12979.15
390,13514.75,13515.75,13295.701,13344.348,13689.326,13746.319
391,14149.683,14154.84,13906.875,13960.844,14339.105,14383.367
392,14130.312,14125.829,13660.298,13766.008,14501.853,14647.063
393,14343.834,14351.354,13024.883,13340.278,15325.291,15628.253
394,14132.354,14113.093,13129.828,13403.499,14877.24,15174.0205
395,14276.475,14277.451,13993.606,14054.744,14497.36,14578.469
396,14036.258,14035.942,13771.802,13839.615,14221.595,14282.025
397,14108.913,14131.85,12715.169,13172.318,14999.433,15289.258
398,13950.641,13952.866,13730.397,13781.569,14118.24,14167.517
399,13863.849,13883.758,12402.834,12822.001,14917.862,15300.3
400,14538.01,14527.883,13855.532,14001.8,15131.121,15317.584
401,14676.14,14681.598,14094.489,14248.002,15139.873,15256.824
402,14237.969,14241.09,13993.704,14060.736,14415.91,14471.643
403,13991.202,13949.776,11326.051,12203.852,15848.197,16586.387
404,14110.628,14138.537,11326.782,12106.892,16015.453,16995.533
405,13693.831,13698.311,11722.224,12287.075,15138.492,15802.672
406,13520.152,13571.128,11622.59,12174.2705,14911.99,15405.294
407,13640.171,13701.252,11544.801,12209.419,14970.116,15471.582
408,12218.761,12222.999,12002.252,12062.483,12362.569,12416.475
409,12502.084,12499.408,12287.48,12338.371,12665.914,12729.806
410,12582.647,12582.847,12392.782,12428.583,12735.743,12785.298
411,12865.289,12870.242,12655.1875,12705.886,13021.02,13062.148
412,13047.994,13039.732,12850.402,12900.647,13208.86,13246.739
413,13173.851,13175.945,12970.409,13019.888,13325.117,13372.655
414,13077.266,13077.912,12864.987,12921.239,13230.41,13279.545
415,13524.208,13516.385,13327.062,13379.794,13680.586,13732.746
416,13153.594,13153.202,12951.986,12995.072,13309.183,13378.456
417,12940.226,12939.119,12725.75,12778.3125,13088.975,13159.936
418,12911.312,12912.415,12699.961,12750.908,13078.0,13118.938
419,12810.098,12811.318,12608.058,12653.349,12963.694,13008.428
420,12479.058,12477.15,12284.869,12325.365,12636.773,12693.735
421,12340.772,12336.348,12139.995,12187.671,12504.582,12543.871
422,12501.873,12505.959,12292.461,12346.1875,12651.132,12705.097
423,12977.044,12976.508,12775.616,12813.847,13145.46,13187.758
424,13100.49,13097.789,12899.544,12949.142,13257.008,13307.893
425,13659.237,13658.368,13443.945,13506.782,13821.094,13866.713
426,13638.29,13639.912,13432.606,13479.5625,13799.418,13844.494
427,13405.836,13403.198,13210.062,13252.307,13565.203,13606.474
428,13134.875,13134.177,12935.75,12978.472,13284.845,13338.665
429,12991.09,12984.441,12779.548,12828.929,13167.056,13211.45
430,12795.002,12791.817,12596.35,12637.173,12969.582,13010.754
431,12761.892,12756.364,12565.984,12609.676,12909.636,12957.593
432,13523.52,13521.553,13275.432,13332.683,13727.032,13780.033
433,13476.258,13474.776,13220.895,13292.681,13669.396,13725.414
434,13436.108,13435.652,13230.738,13285.438,13596.1455,13652.152
435,13635.82,13632.498,13432.144,13471.612,13809.165,13872.361
436,13736.966,13740.084,13509.435,13574.707,13902.512,13950.61
437,13810.984,13812.301,13592.906,13639.106,13973.087,14023.315
438,13805.469,13812.76,13589.097,13641.19,13965.825,14014.59
439,13720.609,13720.498,13512.128,13558.271,13872.742,13922.328
440,14090.772,14089.354,13853.922,13900.506,14281.575,14343.037
441,13841.942,13835.236,13530.407,13607.613,14076.082,14170.258
